win,champion name,champion primary type,champion secondary type,position,rel_goldEarned,rel_magicDamageDealt,rel_physicalDamageDealt,rel_totalDamageDealt,rel_totalDamageTaken,rel_totalHeal,rel_totalMinionsKilled,rel_visionScore,rel_wardsPlaced,rel_neutralMinionsKilled
False,Shen,Tank,,sup,0.15299665274011093,0.02420914997798562,0.03583192674569545,0.1083425432867812,0.16910097942774047,0.09712989755220146,0.09341500765696784,0.3032258064516129,0.3411764705882353,0.0
False,Olaf,Fighter,Tank,jg,0.2246573334310636,0.14653573668129846,0.3362127774031209,0.2696172008439666,0.27125657585218765,0.3572769218737781,0.04594180704441042,0.3290322580645161,0.29411764705882354,0.8297872340425532
False,Varus,Marksman,Mage,adc,0.1703681985877984,0.06725060372776881,0.16931287056924893,0.11553258648983555,0.1333347589923442,0.06408852741065145,0.2388973966309341,0.12258064516129033,0.1176470588235294,0.02836879432624113
False,Aatrox,Fighter,Tank,top,0.2206259620318112,0.02027324518685541,0.4025907200299379,0.2435572189289661,0.2781852786450537,0.38234144052553376,0.27411944869831545,0.09032258064516127,0.10588235294117647,0.02836879432624113
False,Corki,Marksman,,mid,0.23135185320921595,0.7417312644260917,0.05605170525199683,0.2629504504504505,0.14812240708267396,0.0991632126378353,0.3476263399693721,0.15483870967741936,0.1411764705882353,0.11347517730496455
True,Akali,Assassin,,mid,0.22325385102342266,0.2458810532423045,0.2592904306418793,0.2476153523448625,0.18890509541087552,0.3495157583716349,0.29954614220877457,0.08854166666666667,0.12745098039215685,0.06097560975609756
True,Tahm Kench,Support,Tank,sup,0.1567841316733488,0.10508579648866248,0.024598219847455045,0.0645464984135175,0.1931482575310101,0.16012803676953385,0.07413010590015129,0.3125,0.3137254901960784,0.012195121951219513
True,Kled,Fighter,Tank,top,0.17059602140842908,0.0,0.21651970487673208,0.15789193799029794,0.2239955639668744,0.012680564674983585,0.23751891074130105,0.10416666666666667,0.09803921568627452,0.07317073170731707
True,Tristana,Marksman,Assassin,adc,0.2332866542615435,0.28520676198726763,0.2552179510250412,0.25224579350714066,0.12793374880962427,0.1319763624425476,0.3388804841149773,0.15104166666666666,0.09803921568627452,0.036585365853658534
True,Jax,Fighter,Assassin,jg,0.216079341633256,0.3638263882817654,0.2443736936088925,0.2777004177441814,0.2660173342816158,0.34569927774130005,0.049924357034795766,0.34375,0.3627450980392157,0.8170731707317073
True,Galio,Tank,Mage,mid,0.20227375622516225,0.6498270734365958,0.0075912206742150545,0.2206029481411319,0.16555046521513248,0.14567260721625172,0.28921568627450983,125.0,0.10071942446043164,0.02531645569620253
True,Fiora,Fighter,Assassin,top,0.2734376310008887,0.006284568491030696,0.5129979885242094,0.33509205541084536,0.25527794833042083,0.2545901694572651,0.31985294117647056,0.21370967741935484,0.2517985611510791,0.12658227848101267
True,Tahm Kench,Support,Tank,sup,0.13649244596475346,0.043121739403481865,0.014191530055995138,0.033182867629647166,0.1683748169838946,0.1501532863928848,0.05637254901960784,0.2459677419354839,0.2733812949640288,0.02531645569620253
True,Olaf,Fighter,Tank,jg,0.16117510941194224,0.08417105151013561,0.2106341338051488,0.17838029836609046,0.2855995843763283,0.3064717178182798,0.01593137254901961,0.2782258064516129,0.31654676258992803,0.7025316455696202
True,Varus,Marksman,Mage,adc,0.22662105739725336,0.216595567158756,0.2545851269404317,0.2327418304522851,0.12519718509422378,0.14311221911531855,0.3186274509803921,0.13709677419354838,0.05755395683453238,0.12025316455696206
False,Alistar,Tank,Support,sup,0.13579872075135616,0.02873449447891048,0.012928536570487405,0.02870319583207315,0.1809462599495724,0.26143549503807983,0.04381443298969072,0.3173076923076923,375.0,0.0
False,Ornn,Tank,Fighter,top,0.17186867460124686,0.13849529759528115,0.15935917769779784,0.14237113208288693,0.2442873387056904,0.05345026540503117,0.22164948453608246,0.07692307692307693,0.08035714285714286,0.0
False,Skarner,Fighter,Tank,jg,0.16399481823334142,0.12922134351544595,0.1950489538217532,0.17560074568845466,0.2474712018589015,0.3645049619201477,0.020618556701030927,0.25961538461538464,0.26785714285714285,0.6624203821656051
False,Ezreal,Marksman,Mage,adc,0.2537648773378674,0.1161324524642748,0.5365056731531751,0.3059834492704589,0.16889306372670193,0.05280406185091161,0.3621134020618557,0.19230769230769232,0.13392857142857142,0.08280254777070062
False,Corki,Marksman,,mid,0.2745729090761881,0.5874164119460876,0.09615765875678643,0.3473414771261263,0.15840213575913384,0.2678052157858297,0.35180412371134023,0.15384615384615385,0.14285714285714285,0.2547770700636943
False,Alistar,Tank,Support,sup,0.12366201015965167,0.04820466577010082,0.009627206404055613,0.03411862601771872,0.21306274212940285,0.2276843467011643,0.049808429118773936,0.2849162011173184,0.26548672566371684,0.0
False,Lee Sin,Fighter,Assassin,jg,0.19439404934687954,0.13878372810733913,0.2430768064213873,0.2243828798051782,0.21179365008683265,0.24790858128503665,0.038314176245210725,0.2737430167597765,0.2920353982300885,0.8630136986301371
False,Fiora,Fighter,Assassin,top,0.2436502177068215,0.009514999339236156,0.33050971386480205,0.2429699636999348,0.291479271496638,0.3391979301423027,0.2835249042145594,0.12849162011173185,0.11504424778761065,0.0
False,Katarina,Assassin,Mage,mid,0.2129898403483309,0.8034966067833239,0.03299247696782265,0.22080440333914805,0.1884379035490048,0.11815437688658904,0.29757343550446996,0.1787709497206704,0.24778761061946905,0.0
False,Xayah,Marksman,,adc,0.2253038824383164,0.0,0.3837937963419324,0.2777241271380204,0.09522643273812174,0.06705476498490727,0.33077905491698595,0.1340782122905028,0.07964601769911504,0.136986301369863
True,Braum,Support,Tank,sup,0.13621619715826958,0.02235537747062212,0.03847111501242841,0.03362764923834968,0.17114794189183802,0.1173510544309146,0.06636155606407322,0.3764705882352941,0.36585365853658536,0.0
True,Tristana,Marksman,Assassin,adc,0.2270387476642104,0.1861877979144457,0.495419000071743,0.24017612745771616,0.12787251292547747,0.1352514116698037,0.3375286041189932,0.08235294117647059,0.1097560975609756,0.10429447852760736
True,Ryze,Mage,Fighter,mid,0.25365793463314884,0.4483794679508388,0.06713032322320084,0.4298694365842655,0.17534789138611626,0.2694656781776976,0.3249427917620137,0.2,0.17073170731707318,0.17177914110429449
True,Sejuani,Tank,Fighter,jg,0.1847477347248176,0.11243122694800818,0.2382879594187975,0.1355186725019122,0.30191788832919103,0.2903238197672185,0.01830663615560641,0.21176470588235294,0.1951219512195122,0.7177914110429447
True,Sion,Tank,Fighter,top,0.19833938581955365,0.2306461297160852,0.16069160227383028,0.16080811421775648,0.22371376546737728,0.1876080359543656,0.2528604118993135,0.12941176470588234,0.15853658536585366,0.006134969325153374
False,Cho'Gath,Tank,Mage,top,0.19636315570829715,0.4910310721399017,0.07232193774606017,0.1919828277977325,0.3633135647640993,0.3487811310802155,0.2233632862644416,0.14054054054054055,0.1263157894736842,0.04477611940298507
False,Sejuani,Tank,Fighter,jg,0.17544091544242607,0.2741118942350975,0.1403450510843252,0.17588618966445774,0.2267517848373815,0.2163822011227912,0.06290115532734275,0.15675675675675674,0.09473684210526316,0.7761194029850746
False,Ezreal,Marksman,Mage,adc,0.2343555270214132,0.15368345758489496,0.28511260080021805,0.23940431238310336,0.10737732784346317,0.061979578764929724,0.3042362002567394,0.15135135135135136,0.16842105263157894,0.08955223880597014
False,Braum,Support,Tank,sup,0.15425431473998266,0.052395311122210506,0.018457232766340457,0.04517215930623812,0.12388471272617385,0.1342828077314344,0.08087291399229783,0.3891891891891892,0.42105263157894735,0.00746268656716418
False,Gangplank,Fighter,,mid,0.23958608708788096,0.02877826491789532,0.4837631776030562,0.3475545108484682,0.17867260982888225,0.2385742813006292,0.3286264441591784,0.16216216216216214,0.18947368421052632,0.08208955223880597
